Down,,1229.625,2605.5625
wait,24
Up
wait,1049
Down,,257.0625,252.0625
wait,64
Move,8,259.5625,251.9375
Move,8,263.375,251.75
Move,8,274.1875,251.125
Move,8,300.0625,249.375
Move,8,346.875,246.125
Move,8,393.5625,242.75
Move,8,443.6875,239.25
Move,8,494.3125,236.625
Move,8,535.1875,236.5
Move,8,575.0625,238.125
Move,8,605.875,241.1875
Move,8,635.4375,244.625
Move,8,664.1875,248.25
Move,8,703.875,253.375
Move,8,773.1875,262.3125
Move,8,841.0625,271.0
Move,8,926.125,281.875
Move,8,1028.4375,295.4375
Move,8,1138.4375,312.3125
Move,8,1248.4375,329.1875
wait,8
Up
wait,1671
Down,,262.0,241.6875
wait,57
Move,8,267.5
Move,8,278.375,241.625
Move,8,304.5,241.5
Move,8,347.25
Move,8,408.6875,242.375
Move,8,467.3125,245.3125
Move,8,534.875,252.1875
Move,8,607.9375,264.625
Move,8,684.875,281.25
Move,8,774.375,302.25
Move,8,867.4375,325.5
Move,8,995.0,358.4375
Move,8,1123.3125,393.375
wait,8
Up
wait,1696
Down,,306.9375,251.5625
wait,48
Move,8,315.75,252.375
Move,8,334.6875,254.0
Move,8,383.75,258.0625
Move,8,463.125,264.0
Move,8,536.6875,267.6875
Move,8,641.8125,271.0625
Move,8,732.8125,272.8125
Move,8,829.1875,274.375
Move,8,924.625,275.9375
Move,8,1027.0625,279.375
Move,8,1108.9375,288.3125
Move,8,1263.9375,314.3125
wait,8
Up
wait,1437
Down,,322.75,217.8125
wait,56
Up
